"City, Airport",Country,Code
Aarhus,Denmark,AAR
Abadan,Iran,ABD
Abeche,Chad,AEH
Aberdeen,United Kingdom,ABZ
Aberdeen (SD),USA,ABR
Abidjan,Cote d'Ivoire,ABJ
Abilene (TX),USA,ABI
Abu Dhabi - Abu Dhabi International,United Arab Emirates,AUH
Abuja - Nnamdi Azikiwe International Airport,Nigeria,ABV
Abu Rudeis,Egypt,AUE
Abu Simbel,Egypt,ABS
Acapulco,Mexico,ACA
Accra - Kotoka International Airport,Ghana,ACC
Adana,Turkey,ADA
Addis Ababa - Bole International Airport,Ethiopia,ADD
Adelaide,Australia,ADL
Aden - Aden International Airport,Yemen,ADE
Adiyaman,Turkey,ADF
Adler/Sochi,Russia,AER
Agades,Niger,AJY
Agadir,Morocco,AGA
Agana (Hagåtña),Guam,SUM
Aggeneys,South Africa,AGZ
Aguadilla,Puerto Rico,BQN
Aguascaliente,Mexico,AGU
Ahmedabad,India,AMD
Aiyura,Papua New Guinea,AYU
Ajaccio,France,AJA
Akita,Japan,AXT
Akron (OH),USA,CAK
Akrotiri - RAF,Cyprus,AKT
Al Ain,United Arab Emirates,AAN
Al Arish,Egypt,AAC
Albany,Australia,ALH
Albany (GA),USA,ABY
Albany (NY) - Albany International Airport,USA,ALB
Albi,France,LBI
Alborg,Denmark,AAL
Albuquerque (NM),USA,ABQ
Albury,Australia,ABX
Alderney,Channel Islands,ACI
Aleppo,Syria,ALP
Alesund,Norway,AES
Alexander Bay - Kortdoorn,South Africa,ALJ
Alexandria - Borg el Arab Airport,Egypt,HBH
Alexandria - El Nhouza Airport,Egypt,ALY
Alexandria - Esler Field,USA (LA),ESF
Alfujairah (Fujairah),United Arab Emirates,FJR
Alghero Sassari,Italy,AHO
"Algiers, Houari Boumediene Airport",Algeria,ALG
Al Hoceima,Morocco,AHU
Alicante,Spain,ALC
Alice Springs,Australia,ASP
Alldays,South Africa,ADY
Allentown (PA),USA,ABE
Almaty (Alma Ata) - Almaty International Airport,Kazakhstan,ALA
Almeria,Spain,LEI
Alta,Norway,ALF
Altay,PR China,AAT
Altenrhein,Switzerland,ACH
Altoona (PA),USA,AOO
Altus,USA,AXS
Amami,Japan,ASJ
Amarillo (TX),USA,AMA
Amazon Bay,Papua New Guinea,AZB
Amman - Queen Alia International Airport,Jordan,AMM
Amman - Amman-Marka International Airport,Jordan,ADJ
Amritsar,India,ATQ
Amsterdam - Amsterdam Airport Schiphol,Netherlands,AMS
Anand,India,QNB
Anchorage (AK) - Ted Stevens Anchorage International,USA,ANC
Ancona - Ancona Falconara Airport,Italy,AOI
Andorra La Vella - Heliport,Andorra,ALV
Anguilla,Anguilla,AXA
Anjouan - Anjouan Airport,Comoros (Comores),AJN
Ankara,Turkey,ANK
Ankara - Esenboğa International Airport,Turkey,ESB
Annaba,Algeria,AAE
Ann Arbor (MI),USA,ARB
Annecy,France,NCY
Anniston (AL),USA,ANB
Antalya,Turkey,AYT
Antananarivo (Tanannarive) - Ivato International Airport,Madagascar,TNR
"Antigua, V.C. Bird International",Antigua and Barbuda,ANU
Antwerp,Belgium,ANR
Aomori,Japan,AOJ
Apia - Faleolo International Airport,Samoa,APW
Appelton/Neenah/Menasha (WI),USA,ATW
Aqaba,Jordan,AQJ
Aracaju,Brazil,AJU
Arkhangelsk,Russia,ARH
Arusha,Tanzania,ARK
Araxos,Greece,GPA
Arlit,Niger,RLT
Arrecife/Lanzarote,Spain,ACE
"Aruba - Reina Beatrix International, Oranjestad",Aruba,AUA
Asheville (NC),USA,AVL
Ashgabat - Saparmurat Turkmenbashy Int. Airport,Turkmenistan,ASB
Asmara - Asmara International,Eritrea,ASM
"Aspen, (CO) - Aspen-Pitkin County Airport",USA,ASE
Assiut,Egypt,ATZ
Astana - Astana International Airport,Kazakhstan,TSE
Asuncion - Asunción International Airport,Paraguay,ASU
Aswan - Daraw Airport,Egypt,ASW
Athens - Elefthérios Venizélos International Airport,Greece,ATH
"Athens, Hellinikon Airport",Greece,HEW
Athens (GA),USA,AHN
Athens (OH),USA,ATO
Atlanta (GA) - Hartsfield Atlanta International Airport,USA,ATL
Atlantic City (NJ) - Atlantic City International,USA,ACY
"Attawapiskat, NT",Canada,YAT
Auckland - Auckland International Airport,New Zealand,AKL
Augsburg - Augsbur gAirport,Germany,AGB
Augusta (GA),USA,AGS
Augusta (ME) - Augusta State Airport,USA,AUG
Aurillac,France,AUR
Austin (TX) - Austin-Bergstrom Airport,USA,AUS
Ayawasi,Indonesia,AYW
Ayers Rock - Connellan,Australia,AYQ
Ayr,Australia,AYR